Kinds,line,score
AVscore,0,134
Linelen,0,17
KEP,0,0
Spacelen,0,2
complexity,0,0.0
AVscore,1,76
Linelen,1,21
KEP,1,100
Spacelen,1,4
complexity,1,47.61904761904761
AVscore,2,84
Linelen,2,25
KEP,2,100
Spacelen,2,5
complexity,2,28.000000000000004
AVscore,3,245
Linelen,3,7
KEP,3,100
Spacelen,3,1
complexity,3,28.57142857142857
AVscore,4,79
Linelen,4,26
KEP,4,100
Spacelen,4,5
complexity,4,26.923076923076923
